VehicleID,Latitude,Longitude
23,30.432499999999997,114.4025
41,30.4375,114.4125
32,30.432499999999997,114.4075
44,30.467499999999998,114.4375
35,30.4375,114.4225
17,30.4375,114.4225
8,30.4625,114.4375
26,30.447499999999998,114.4375
11,30.4575,114.4325
47,30.4375,114.4225
38,30.4375,114.4125
29,30.4525,114.4225
20,30.4375,114.4225
2,30.4575,114.4175
5,30.4575,114.4175
14,30.4375,114.4075
46,30.4575,114.4175
49,30.4375,114.4225
40,30.4725,114.4125
13,30.4375,114.4175
4,30.467499999999998,114.4325
31,30.4575,114.4075
22,30.447499999999998,114.39750000000001
16,30.4575,114.4325
7,30.467499999999998,114.4025
43,30.432499999999997,114.4025
25,30.467499999999998,114.4275
34,30.4525,114.4225
10,30.4725,114.4175
37,30.432499999999997,114.4025
1,30.4575,114.4425
28,30.4575,114.4175
19,30.4575,114.4275
45,30.4525,114.4275
36,30.4375,114.4225
27,30.432499999999997,114.4075
18,30.432499999999997,114.4125
9,30.4375,114.4075
48,30.4525,114.4225
21,30.4525,114.4225
12,30.4625,114.4325
3,30.4425,114.4275
30,30.4375,114.4225
39,30.467499999999998,114.4375
15,30.432499999999997,114.4125
42,30.4625,114.4325
33,30.4425,114.4175
24,30.4625,114.4325
6,30.467499999999998,114.4325
0,30.4375,114.4075
